Air,,0,0
Stone,,1,0
Granite,,1,1
Polished Granite,,1,2
Diorite,,1,3
Polished Diorite,,1,4
Andesite,,1,5
Polished Andesite,,1,6
Grass Block,,2,0
Dirt,,3,0
Coarse Dirt,,3,1
Podzol,,3,2
Cobblestone,,4,0
Oak Wood Planks,,5,0
Spruce Wood Planks,,5,1
Birch Wood Planks,,5,2
Jungle Wood Planks,,5,3
Acacia Wood Planks,,5,4
Dark Oak Wood Planks,,5,5
Oak Sapling,,6,0
Spruce Sapling,,6,1
Birch Sapling,,6,2
Jungle Sapling,,6,3
Acacia Sapling,,6,4
Dark Oak Sapling,,6,5
Bedrock,,7,0
Water,,8,0
Water,,9,0
Lava,,10,0
Lava,,11,0
Sand,,12,0
Red Sand,,12,1
Gravel,,13,0
Gold Ore,,14,0
Iron Ore,,15,0
Coal Ore,,16,0
Oak Wood,,17,0
Spruce Wood,,17,1
Birch Wood,,17,2
Jungle Wood,,17,3
Oak Leaves,,18,0
Spruce Leaves,,18,1
Birch Leaves,,18,2
Jungle Leaves,,18,3
Sponge,,19,0
Wet Sponge,,19,1
Glass,,20,0
Lapis Lazuli Ore,,21,0
Lapis Lazuli Block,,22,0
Dispenser,,23,0
Sandstone,,24,0
Chiseled Sandstone,,24,1
Smooth Sandstone,,24,2
Note Block,,25,0
Bed,,26,0
Powered Rail,,27,0
Detector Rail,,28,0
Sticky Piston,,29,0
Cobweb,,30,0
Dead Shrub,,31,0
Grass,,31,1
Fern,,31,2
Dead Bush,,32,0
Piston,,33,0
Piston,,34,0
White Wool,,35,0
Orange Wool,,35,1
Magenta Wool,,35,2
Light Blue Wool,,35,3
Yellow Wool,,35,4
Lime Wool,,35,5
Pink Wool,,35,6
Gray Wool,,35,7
Light Gray Wool,,35,8
Cyan Wool,,35,9
Purple Wool,,35,10
Blue Wool,,35,11
Brown Wool,,35,12
Green Wool,,35,13
Red Wool,,35,14
Black Wool,,35,15
Dandelion,,37,0
Poppy,,38,0
Blue Orchid,,38,1
Allium,,38,2
Azure Bluet,,38,3
Red Tulip,,38,4
Orange Tulip,,38,5
White Tulip,,38,6
Pink Tulip,,38,7
Oxeye Daisy,,38,8
Brown Mushroom,,39,0
Red Mushroom,,40,0
Gold Block,,41,0
Iron Block,,42,0
Double Stone Slab,,43,0
Double Sandstone Slab,,43,1
Double Oak Wood Slab,,43,2
Double Cobblestone Slab,,43,3
Double Brick Slab,,43,4
Double Stone Brick Slab,,43,5
Double Nether Brick Slab,,43,6
Double Quartz Slab,,43,7
Stone Slab,,44,0
Sandstone Slab,,44,1
Oak Wood Slab,,44,2
Cobblestone Slab,,44,3
Brick Slab,,44,4
Stone Brick Slab,,44,5
Nether Brick Slab,,44,6
Quartz Slab,,44,7
Bricks,,45,0
TNT,,46,0
Bookshelf,,47,0
Mossy Cobblestone,,48,0
Obsidian,,49,0
Torch,,50,0
Fire,,51,0
Mob Spawner,,52,0
Oak Wood Stairs,,53,0
Chest,,54,0
Redstone,,55,0
Diamond Ore,,56,0
Diamond Block,,57,0
Crafting Table,,58,0
Wheat Crops,,59,0
Farmland,,60,0
Furnace,,61,0
Furnace,,62,0
Sign,,63,0
Wooden Door,,64,0
Ladder,,65,0
Rail,,66,0
Cobblestone Stairs,,67,0
Sign,,68,0
Lever,,69,0
Stone Pressure Plate,,70,0
Iron Door,,71,0
Wooden Pressure Plate,,72,0
Redstone Ore,,73,0
Redstone Ore,,74,0
Redstone Torch,,75,0
Redstone Torch,,76,0
Stone Button,,77,0
